cluster_id,delivery_id,Origin Pincode,Destination Pincode,Volume,Weight,Assigned_Truck,Stop_Order,Quantity,_calculatedDeliveryDays
1,1,560005,635110,270.05,1677.5,Not Assigned,1,1,
1,2,560009,635110,196.4,1220,Not Assigned,2,1,
1,3,560018,635110,230.77,1433.5,Not Assigned,3,1,
1,4,560051,635110,63.83,396.5,Not Assigned,4,1,
1,5,560061,635110,122.75,762.5,Not Assigned,5,1,
1,7,562123,635110,162.03,1006.5,Not Assigned,6,1,
1,8,563130,635110,63.83,396.5,Not Assigned,7,1,
1,10,560102,635110,63.83,396.5,Not Assigned,8,1,
2,6,576103,635110,98.2,610,Not Assigned,1,1,
2,12,576101,635110,49.1,305,Not Assigned,2,1,
2,14,576213,635110,83.47,518.5,Not Assigned,3,1,
3,9,570001,635110,68.74,427,Not Assigned,1,1,
3,13,570024,635110,289.69,1799.5,Not Assigned,2,1,
4,11,575002,635110,137.48,854,Not Assigned,1,1,
5,15,580029,635110,117.84,732,Not Assigned,1,1,
6,16,581301,635110,68.74,427,Not Assigned,1,1,
7,17,583101,635110,274.96,1708,Not Assigned,1,1,
8,18,591237,635110,49.1,305,Not Assigned,1,1,
9,19,586101,635110,98.2,610,Not Assigned,1,1,
10,20,590008,635110,98.2,610,Not Assigned,1,1,
11,21,585103,635110,58.92,366,Not Assigned,1,1,
